species,taxonomic_class,common_name,mass_g,repo_type,parental_care,refs
Isurus_oxyrinchus,Elasmobranchii,Shortfin Mako,208088.8,viviparous,no,Froese R. and D. Pauly. Editors. 2022.FishBase. World Wide Web electronic publication. www.fishbase.org
Jynx_torquilla,Aves,Eurasian wryneck,35.86666667,oviparous,yes,Handbook of birds of the world
Kinosternon_flavescens,Reptilia,Yellow Mud Turtle,331.15,oviparous,no,Myhrvold et al 2015; Handbook of birds of the world
Kinosternon_integrum,Reptilia,Mexican Mud Turtle,474.4,oviparous,no,Ernst and Lovich Turtles of the United States and Canada; Myhrvold et al 2015
Kinosternon_subrubrum,Reptilia,Eastern mud turtle,154.7,oviparous,no,Ernst and Lovich Turtles of the United States and Canada; Myhrvold et al 2015
Lagopus_leucura,Aves,White-tailed Ptarmigan,351,oviparous,yes,Handbook of birds of the world
Lagopus_muta,Aves,Rock ptarmigan,521,oviparous,yes,Handbook of birds of the world
Lontra_canadensis,Mammalia,North American River Otter,8087.42,viviparous,yes,Handbook of the Mammals of the World
Lycalopex_culpaeus,Mammalia,Culpeo,13000,viviparous,yes,Handbook of the Mammals of the World
Macaca_mulatta,Mammalia,Rhesus Monkey,6614,viviparous,yes,Handbook of the Mammals of the World
Maccullochella_peelii,Actinopterygii,Murray cod ,2594.72,oviparous,yes,Froese R. and D. Pauly. Editors. 2022.FishBase. World Wide Web electronic publication. www.fishbase.org
Macquaria_ambigua,Actinopterygii,Golden perch ,3821.53,oviparous,no,Froese R. and D. Pauly. Editors. 2022.FishBase. World Wide Web electronic publication. www.fishbase.org
Macropus_eugenii,Mammalia,Tammar wallaby,5037.24,viviparous,yes,Handbook of the Mammals of the World
Malaclemys_terrapin,Reptilia,Diamondback terrapin,803,oviparous,no,Ernst and Lovich Turtles of the United States and Canada; Myhrvold et al 2015
Marmota_flaviventris,Mammalia,Yellow-bellied Marmot,3709.73,viviparous,yes,Handbook of the Mammals of the World
Martes_pennanti,Mammalia,Fisher,3175,viviparous,yes,Handbook of the Mammals of the World
Milvus_migrans,Aves,Black Kite,828.5,oviparous,yes,Handbook of birds of the world
Mirounga_leonina,Mammalia,Southern Elephant Seal,1.40E+06,viviparous,yes,Handbook of the Mammals of the World
Mustela_erminea,Mammalia,Ermine,110.33,viviparous,yes,Handbook of the Mammals of the World
Mya_arenaria,Bivalvia,Soft sheel clam,74,oviparous,no,Lynch et al 2012
Nuttallia_obscurata,Bivalvia,purple mahogany clam,9.542072,oviparous,no,Kolpakov and Kolpakov 2005
Odocoileus_virginianus,Mammalia,White-tailed Deer,65320,viviparous,yes,Handbook of the Mammals of the World
Oncorhynchus_tshawytscha,Actinopterygii,Chinook_salmon,4600,oviparous,no,Froese R. and D. Pauly. Editors. 2022.FishBase. World Wide Web electronic publication. www.fishbase.org
Onychogalea_fraenata,Mammalia,Bridled Nail-tail Wallaby,5226.025,viviparous,yes,Handbook of the Mammals of the World
Ovis_canadensis,Mammalia,Bighorn Sheep,69125,viviparous,yes,Handbook of the Mammals of the World
Pan_troglodytes,Mammalia,Common Chimpanzee,44983.5,viviparous,yes,Handbook of the Mammals of the World
Panthera_pardus,Mammalia,Leopard,53074.995,viviparous,yes,Handbook of the Mammals of the World
Papio_cynocephalus,Mammalia,Yellow Baboon,17851.25,viviparous,yes,Handbook of the Mammals of the World
Paramuricea_clavata,Anthozoa,Violescent sea-whip,3255,oviparous,no,Herler amd Dirnwober 2011
Passer_domesticus,Aves,House Sparrow,27.7,oviparous,yes,Handbook of birds of the world
Pernis_apivorus,Aves,European Honey Buzzard,762.5,oviparous,yes,Handbook of birds of the world
Phacochoerus_aethiopicus,Mammalia,Desert Warthog,73303.76,viviparous,yes,Handbook of the Mammals of the World
Phalacrocorax_auritus,Aves,Double-crested Cormorant,1876.5,oviparous,yes,Handbook of birds of the world
Phocarctos_hookeri,Mammalia,New Zealand Sealion,273499.99,viviparous,yes,Handbook of the Mammals of the World
Phoebastria_immutabilis,Aves,Laysan Albatross,3050,oviparous,yes,Handbook of birds of the world
Phrynosoma_cornutum,Reptilia,Texas Horned Lizard,27.335,oviparous,no,Whitford and Bryant 1979; Myhrvold et al 2015
Physeter_macrocephalus,Mammalia,Sperm Whale,1.01E+07,viviparous,yes,Handbook of the Mammals of the World
Picoides_borealis,Aves,Red-cockaded Woodpecker,48,oviparous,yes,Handbook of birds of the world
Podocnemis_expansa,Reptilia,"Arrau River Turtle, South American River Turtle",25800,oviparous,no,Ernst and Lovich Turtles of the United States and Canada; Myhrvold et al 2015
Podocnemis_lewyana,Reptilia,Rio Magdalena River Turtle,9599,oviparous,no,"Uetz, P., Freed, P, Aguilar, R. & Ho_ek, J.Ê(eds.) (2022) The Reptile Database, http://www.reptile-database.org"
Propithecus_edwardsi,Mammalia,Milne-Edwards's Sifaka,6568.99,viviparous,yes,Handbook of the Mammals of the World
Propithecus_verreauxi,Mammalia,Verreaux's Sifaka,3588.26,viviparous,yes,Handbook of the Mammals of the World
Puffinus_auricularis,Aves,Townsend's Shearwater,419.8333333,oviparous,yes,Handbook of birds of the world
Rangifer_tarandus,Mammalia,Reindeer,101250,viviparous,yes,Handbook of the Mammals of the World
Salvelinus_confluentus,Actinopterygii,Bull trout,3102.73,oviparous,no,Froese R. and D. Pauly. Editors. 2022.FishBase. World Wide Web electronic publication. www.fishbase.org
Sceloporus_arenicolus,Reptilia,Dunes Sagebrush Lizard,6.58,oviparous,no,"Uetz, P., Freed, P, Aguilar, R. & Ho_ek, J.Ê(eds.) (2022) The Reptile Database, http://www.reptile-database.org"
Sceloporus_grammicus,Reptilia,Mesquite lizard,5.64,oviparous,no,Manrique and Ramirez-Bautista 2010; Myhrvold et al 2015
Scolytus_ventralis,Insecta,Fir engraver,1,oviparous,no,"Overhulser, Dave. 2005. Fir Engraver Beetle. Oregon Department of Forestry Forest Health Note January 2005."
Setophaga_cerulea,Aves,Cerulean warbler,9.05,oviparous,yes,Handbook of birds of the world
Somateria_mollissima,Aves,common eider,2092,oviparous,yes,Handbook of birds of the world
Sprattus_sprattus,Actinopterygii,European sprat,11.3,oviparous,no,Froese R. and D. Pauly. Editors. 2022.FishBase. World Wide Web electronic publication. www.fishbase.org
Stellifer_illecebrosus,Actinopterygii,Silver stardrum,20.83045,oviparous,no,Froese R. and D. Pauly. Editors. 2022.FishBase. World Wide Web electronic publication. www.fishbase.org
Sterna_hirundo,Aves,Common Tern,124,oviparous,yes,Handbook of birds of the world
Sternula_antillarum,Aves,Least Tern,46.85,oviparous,yes,Handbook of birds of the world
Strix_occidentalis,Aves,Spotted Owl,609.5,oviparous,yes,Handbook of the Mammals of the World
Tamiasciurus_hudsonicus,Mammalia,Red Squirrel,210.8,viviparous,yes,Handbook of the Mammals of the World
Thalassarche_melanophris,Aves,Black-browed Albatross,3440,oviparous,yes,Handbook of birds of the world
Troglodytes_troglodytes,Aves,Eurasian Wren,9.225,oviparous,yes,Handbook of birds of the world
Turdus_torquatus,Aves,Ring Ouzel,109,oviparous,yes,Handbook of birds of the world
Tympanuchus_cupido,Aves,Greater Prairie Chicken,885.5,oviparous,yes,Handbook of birds of the world
Umbonium_costatum,Gastropoda,Sand snail,2.3,oviparous,no,Noda et al 1991 and Perea et al 2008
Urocitellus_armatus,Mammalia,Uinta Ground Squirrel,310.4,viviparous,yes,Handbook of the Mammals of the World
Urocitellus_columbianus,Mammalia,Columbian Ground Squirrel,468.635,viviparous,yes,Handbook of the Mammals of the World
Urocyon_littoralis,Mammalia,Island Fox,1906.835,viviparous,yes,Handbook of the Mammals of the World
Ursus_americanus,Mammalia,American Black Bear,132405,viviparous,yes,Handbook of the Mammals of the World
Ursus_maritimus,Mammalia,Polar Bear,371703.81,viviparous,yes,Handbook of the Mammals of the World
Vermivora_chrysoptera,Aves,Golden-winged warbler,8.9,oviparous,yes,Handbook of birds of the world
Vipera_aspis,Reptilia,Sahara Sand Viper,161,viviparous,no,"Street, D., 1979. Reptiles of northern and central Europe. Batsford."
Xenosaurus_grandis,Reptilia,Knob-scaled Lizard,23.59,viviparous,no,Lemos-Espinal 2004;Myhrvold et al 2015
Xenosaurus_platyceps,Reptilia,Flathead Knob-scaled Lizard,19.6,viviparous,no,Lemos-Espinal 2004;Myhrvold et al 2015
Zalophus_californianus,Mammalia,California Sealion,158597.43,viviparous,yes,Handbook of the Mammals of the World
Zingel_asper,Actinopterygii,Rhone streber ,3.147875,oviparous,no,Froese R. and D. Pauly. Editors. 2022.FishBase. World Wide Web electronic publication. www.fishbase.org
